timestamp,shift,machine_id,downtime_minutes,downtime_type,downtime_reason,total_output,defect_units,defect_rate,defect_type,avg_temperature,avg_vibration,energy_consumption
2025-03-01 07:00,Pagi,M01,0,Tidak ada,-,532,8,1.5,Dimensi,44.6,0.024,118
2025-03-01 15:00,Siang,M01,0,Tidak ada,-,507,3,0.59,Dimensi,45.8,0.026,116
2025-03-01 23:00,Malam,M01,49,Teknis,Overheat,350,24,6.86,Retak,61.5,0.098,110
2025-03-02 07:00,Pagi,M01,0,Tidak ada,-,517,2,0.39,Dimensi,44.8,0.026,111
2025-03-02 15:00,Siang,M01,9,Operasional,Material tidak stabil,490,5,1.02,Finishing,47.9,0.027,112
2025-03-02 23:00,Malam,M01,38,Teknis,Suhu tinggi,350,26,7.43,Retak,62.1,0.089,110
2025-03-03 07:00,Pagi,M01,0,Tidak ada,-,520,4,0.77,Dimensi,43.8,0.024,114
2025-03-03 15:00,Siang,M01,5,Operasional,Penyesuaian material,479,7,1.46,Dimensi,44.9,0.027,110
2025-03-03 23:00,Malam,M01,46,Teknis,Bearing panas,350,30,8.57,Dimensi,63.2,0.1,110
2025-03-04 07:00,Pagi,M01,0,Tidak ada,-,523,2,0.38,Finishing,44.6,0.025,116
2025-03-04 15:00,Siang,M01,0,Tidak ada,-,506,3,0.59,Finishing,46.1,0.024,110
2025-03-04 23:00,Malam,M01,0,Tidak ada,-,442,9,2.04,Dimensi,56.7,0.041,110
2025-03-05 07:00,Pagi,M01,0,Tidak ada,-,534,5,0.94,Retak,45.1,0.024,119
2025-03-05 15:00,Siang,M01,0,Tidak ada,-,486,7,1.44,Dimensi,46.2,0.026,110
2025-03-05 23:00,Malam,M01,36,Teknis,Overheat,350,21,6.0,Retak,62.8,0.086,110
2025-03-06 07:00,Pagi,M01,0,Tidak ada,-,548,8,1.46,Finishing,44.0,0.025,120
2025-03-06 15:00,Siang,M01,0,Tidak ada,-,496,2,0.4,Dimensi,47.0,0.028,112
2025-03-06 23:00,Malam,M01,0,Tidak ada,-,409,8,1.96,Dimensi,59.1,0.038,110
2025-03-07 07:00,Pagi,M01,0,Tidak ada,-,521,4,0.77,Dimensi,44.3,0.024,112
2025-03-07 15:00,Siang,M01,14,Operasional,Penyesuaian material,489,8,1.64,Retak,45.7,0.027,110
2025-03-07 23:00,Malam,M01,32,Teknis,Suhu tinggi,350,20,5.71,Retak,60.1,0.086,110
2025-03-08 07:00,Pagi,M01,0,Tidak ada,-,532,4,0.75,Finishing,44.4,0.025,120
2025-03-08 15:00,Siang,M01,0,Tidak ada,-,486,5,1.03,Dimensi,47.0,0.028,111
2025-03-08 23:00,Malam,M01,39,Teknis,Overheat,356,32,8.99,Retak,62.4,0.09,110
2025-03-09 07:00,Pagi,M01,0,Tidak ada,-,512,10,1.95,Dimensi,44.7,0.026,111
2025-03-09 15:00,Siang,M01,0,Tidak ada,-,471,10,2.12,Retak,46.4,0.029,110
2025-03-09 23:00,Malam,M01,41,Teknis,Overheat,351,11,3.13,Retak,60.1,0.091,110
2025-03-10 07:00,Pagi,M01,0,Tidak ada,-,511,6,1.17,Dimensi,44.4,0.024,113
2025-03-10 15:00,Siang,M01,11,Operasional,Material terlambat,462,5,1.08,Finishing,44.6,0.027,110
2025-03-10 23:00,Malam,M01,0,Tidak ada,-,387,8,2.07,Finishing,59.7,0.041,110
2025-03-11 07:00,Pagi,M01,0,Tidak ada,-,507,4,0.79,Dimensi,44.4,0.025,110
2025-03-11 15:00,Siang,M01,0,Tidak ada,-,492,4,0.81,Retak,46.7,0.028,110
2025-03-11 23:00,Malam,M01,0,Tidak ada,-,405,10,2.47,Finishing,57.4,0.043,110
2025-03-12 07:00,Pagi,M01,0,Tidak ada,-,513,2,0.39,Retak,44.5,0.025,112
2025-03-12 15:00,Siang,M01,0,Tidak ada,-,513,4,0.78,Finishing,47.0,0.027,110
2025-03-12 23:00,Malam,M01,33,Teknis,Overheat,362,33,9.12,Retak,61.1,0.082,110
2025-03-13 07:00,Pagi,M01,0,Tidak ada,-,513,6,1.17,Finishing,44.5,0.025,113
2025-03-13 15:00,Siang,M01,11,Operasional,Setup lama,466,4,0.86,Finishing,47.4,0.028,110
2025-03-13 23:00,Malam,M01,0,Tidak ada,-,425,4,0.94,Finishing,57.7,0.046,110
2025-03-14 07:00,Pagi,M01,0,Tidak ada,-,521,3,0.58,Finishing,45.4,0.024,110
2025-03-14 15:00,Siang,M01,0,Tidak ada,-,472,7,1.48,Retak,46.6,0.028,110
2025-03-14 23:00,Malam,M01,0,Tidak ada,-,410,5,1.22,Finishing,57.6,0.04,110
2025-03-15 07:00,Pagi,M01,0,Tidak ada,-,537,5,0.93,Dimensi,44.6,0.025,116
2025-03-15 15:00,Siang,M01,7,Operasional,Penyesuaian material,487,4,0.82,Finishing,46.0,0.027,110
2025-03-15 23:00,Malam,M01,51,Teknis,Bearing panas,350,38,10.86,Retak,62.3,0.103,110
2025-03-16 07:00,Pagi,M01,0,Tidak ada,-,522,5,0.96,Dimensi,44.5,0.026,115
2025-03-16 15:00,Siang,M01,0,Tidak ada,-,484,7,1.45,Retak,45.3,0.028,110
2025-03-16 23:00,Malam,M01,30,Teknis,Overheat,355,9,2.54,Retak,60.7,0.081,110
2025-03-17 07:00,Pagi,M01,0,Tidak ada,-,523,5,0.96,Retak,45.4,0.025,115
2025-03-17 15:00,Siang,M01,0,Tidak ada,-,482,5,1.04,Retak,46.3,0.029,110
2025-03-17 23:00,Malam,M01,25,Teknis,Bearing panas,350,21,6.0,Retak,61.8,0.072,110
2025-03-18 07:00,Pagi,M01,0,Tidak ada,-,521,4,0.77,Finishing,45.3,0.024,113
2025-03-18 15:00,Siang,M01,4,Operasional,Material terlambat,487,4,0.82,Dimensi,46.1,0.026,111
2025-03-18 23:00,Malam,M01,29,Teknis,Suhu tinggi,350,19,5.43,Dimensi,63.0,0.082,110
